date;type;description;transferred
14/apr;vrijdag;Vaisakhi;Restricted Holiday
14/apr;vrijdag;Ambedkar Jayanti;Observance
15/apr;zaterdag;Mesadi/Vaisakhadi;Restricted Holiday
16/apr;zondag;Easter Day;Restricted Holiday
;;;
1/mei;maandag;May Day;Observance
9/mei;dinsdag;Birthday of Ravindranath;Restricted Holiday
10/mei;woensdag;Buddha Purnima/Vesak;Gazetted Holiday
14/mei;zondag;Mother's Day;Observance
;;;
18/jun;zondag;Father's Day;Observance
21/jun;woensdag;June Solstice;Season
23/jun;vrijdag;Jamat Ul-Vida;Restricted Holiday
25/jun;zondag;Rath Yatra;Restricted Holiday
26/jun;maandag;Ramzan Id/Eid-ul-Fitar;Muslim, Common local holiday
;;;
;;;
6/aug;zondag;Friendship Day;Observance
7/aug;maandag;Raksha Bandhan (Rakhi);Restricted Holiday
15/aug;dinsdag;Independence Day;Gazetted Holiday
15/aug;dinsdag;Janmashtami;Gazetted Holiday
17/aug;donderdag;Parsi New Year;Restricted Holiday
25/aug;vrijdag;Ganesh Chaturthi/Vinayaka Chaturthi;Restricted Holiday
;;;
2/sep;zaterdag;Bakr Id/Eid ul-Adha;Gazetted Holiday
4/sep;maandag;Onam;Restricted Holiday
23/sep;zaterdag;September Equinox;Season
27/sep;woensdag;Maha Saptami;Restricted Holiday
28/sep;donderdag;Maha Ashtami;Restricted Holiday
29/sep;vrijdag;Maha Navami;Restricted Holiday
30/sep;zaterdag;Dussehra;Gazetted Holiday
;;;
1/okt;zondag;Muharram/Ashura;Gazetted Holiday
2/okt;maandag;Mahatma Gandhi Jayanti;Gazetted Holiday
5/okt;donderdag;Maharishi Valmiki Jayanti;Restricted Holiday
8/okt;zondag;Karaka Chaturthi (Karva Chauth);Restricted Holiday
18/okt;woensdag;Naraka Chaturdasi;Restricted Holiday
19/okt;donderdag;Diwali/Deepavali;Gazetted Holiday
20/okt;vrijdag;Govardhan Puja;Restricted Holiday
21/okt;zaterdag;Bhai Duj;Restricted Holiday
26/okt;donderdag;Chhat Puja (Pratihar Sashthi/Surya Sashthi);Restricted Holiday
31/okt;dinsdag;Halloween;Observance
;;;
4/nov;zaterdag;Guru Nanak Jayanti;Gazetted Holiday
24/nov;vrijdag;Guru Tegh Bahadur's Martyrdom Day;Restricted Holiday
;;;
2/dec;zaterdag;Milad un-Nabi/Id-e-Milad;Gazetted Holiday
13/dec;woensdag;First Day of Hanukkah;Observance
20/dec;woensdag;Last day of Hanukkah;Observance
21/dec;donderdag;December Solstice;Season
24/dec;zondag;Christmas Eve;Restricted Holiday
25/dec;maandag;Christmas;Gazetted Holiday
25/dec;maandag;Guru Govind Singh Jayanti;Observance
31/dec;zondag;New Year's Eve;Observance
